nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P4;20;0.75;0.3;0.07313871383666992;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;20;0.75;0.3;0.07786083221435547;[0, 1, 1, 2, 1, 0, 2, 1, 6];47;56
P8;20;0.75;0.3;0.08743095397949219;[3, 1, 1, 0, 0, 0, 1, 1, 1];112;119
P9;20;0.75;0.3;0.08790707588195801;[0, 0, 1, 1, 0, 0, 1, 1, 1];113;120
P11;20;0.75;0.3;0.049980878829956055;[0, 2, 1];108;110
P14;20;0.75;0.3;0.18133807182312012;[2, 0, 0, 2, 1, 2, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1];119;135
P17;20;0.75;0.3;0.11157584190368652;[334714, 174452, 149406, 302572, 85276, 391485, 156777, 264058, 190539, 120324, 17462, 48914, 51011, 25037];9020234;13373216
P20;20;0.75;0.3;0.09506011009216309;[990251, 637373, 603471, 965515, 581120, 2025794, 799313, 418062, 230496, 203673, 218562];26197189;42498981
P1;20;0.85;0.1;0.048598289489746094;[0, 2, 1];13;19
P3;20;0.85;0.1;0.0525970458984375;[2, 2, 2, 2];26;40
P4;20;0.85;0.1;0.07163548469543457;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;20;0.85;0.1;0.07629036903381348;[0, 0, 1, 2, 1, 1, 2, 1, 6];47;58
P8;20;0.85;0.1;0.08423399925231934;[2, 3, 0, 0, 0, 0, 1, 1, 1];111;118
P9;20;0.85;0.1;0.08486199378967285;[0, 0, 0, 0, 1, 0, 1, 1, 1];113;120
P11;20;0.85;0.1;0.04935193061828613;[0, 2, 1];108;110
P14;20;0.85;0.1;0.18149018287658691;[1, 3, 0, 1, 0, 0, 1, 2, 0, 2, 1, 0, 0, 0, 1, 1];116;137
P17;20;0.85;0.1;0.10864019393920898;[388405, 199432, 159707, 230726, 111541, 240772, 163338, 248365, 226653, 132855, 49264, 54291, 29366, 31558];9038198;13786047
P20;20;0.85;0.1;0.09126019477844238;[1195190, 459988, 609439, 1105239, 729895, 2151513, 648243, 452164, 253104, 118186, 207088];25293012;41779818
P1;20;0.85;0.2;0.050783395767211914;[0, 2, 1];13;19
P3;20;0.85;0.2;0.056456565856933594;[2, 2, 2, 2];26;40
P4;20;0.85;0.2;0.07219886779785156;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;20;0.85;0.2;0.07639718055725098;[0, 1, 1, 2, 1, 0, 2, 1, 6];47;56
P8;20;0.85;0.2;0.08657979965209961;[2, 0, 2, 0, 0, 0, 1, 1, 1];113;119
P9;20;0.85;0.2;0.08799242973327637;[6, 1, 0, 0, 0, 0, 1, 1, 1];111;120
P11;20;0.85;0.2;0.04934573173522949;[0, 2, 1];108;110
P14;20;0.85;0.2;0.17475104331970215;[0, 0, 0, 0, 0, 1, 2, 0, 3, 3, 0, 1, 0, 0, 1, 1];118;138
P17;20;0.85;0.2;0.10798454284667969;[310295, 129946, 57166, 318757, 94333, 389093, 148945, 507494, 141050, 128315, 56827, 62686, 47705, 28627];9119842;13671925
P20;20;0.85;0.2;0.09165120124816895;[702283, 699162, 470954, 1041895, 672526, 2097009, 575061, 321845, 301529, 132974, 205728];24229417;39385983
P1;20;0.85;0.3;0.04967451095581055;[0, 2, 1];13;19
P3;20;0.85;0.3;0.05321097373962402;[1, 3, 1, 3];27;40
P4;20;0.85;0.3;0.0719611644744873;[0, 1, 1, 2, 2, 1, 0, 1];41;58
P6;20;0.85;0.3;0.07779598236083984;[1, 1, 1, 1, 1, 1, 1, 1, 6];46;58
P8;20;0.85;0.3;0.08603572845458984;[2, 2, 1, 0, 0, 0, 1, 1, 1];113;120
P9;20;0.85;0.3;0.08565258979797363;[0, 3, 1, 0, 0, 0, 1, 1, 1];112;119
P11;20;0.85;0.3;0.04969453811645508;[1, 3, 0];111;115
P14;20;0.85;0.3;0.1726975440979004;[0, 1, 0, 4, 0, 2, 0, 0, 3, 1, 0, 1, 0, 0, 1, 1];118;137
P17;20;0.85;0.3;0.10907936096191406;[247350, 193804, 190193, 308130, 190835, 446759, 114245, 246763, 26348, 49964, 51169, 61981, 52733, 31801];9039398;13495015
P20;20;0.85;0.3;0.09568309783935547;[1028573, 717762, 512415, 868939, 243649, 1350564, 540366, 430505, 278246, 164120, 203748];23513248;37155904
P1;20;0.95;0.1;0.04933023452758789;[0, 2, 1];13;19
P3;20;0.95;0.1;0.05254340171813965;[2, 1, 2, 2];22;34
P4;20;0.95;0.1;0.07108807563781738;[0, 1, 1, 2, 2, 0, 1, 1];40;55
P6;20;0.95;0.1;0.07535195350646973;[1, 1, 1, 2, 1, 1, 0, 1, 6];46;57
P8;20;0.95;0.1;0.08332014083862305;[0, 0, 0, 0, 1, 0, 1, 1, 1];117;120
P9;20;0.95;0.1;0.08433938026428223;[0, 3, 1, 0, 0, 0, 1, 1, 1];112;119
P11;20;0.95;0.1;0.05178523063659668;[0, 2, 1];108;110
P14;20;0.95;0.1;0.16961193084716797;[0, 0, 1, 3, 0, 4, 0, 2, 2, 3, 0, 0, 0, 0, 1, 1];116;136
P17;20;0.95;0.1;0.10611557960510254;[141095, 159832, 156732, 162673, 107397, 373472, 166660, 431436, 252952, 122868, 24486, 64065, 27920, 34782];8820631;13218007
P20;20;0.95;0.1;0.09034085273742676;[1266781, 566949, 413454, 1100918, 682565, 2265186, 450511, 392736, 235325, 208914, 219244];24993394;41398599
P1;20;0.95;0.2;0.049291372299194336;[0, 2, 1];13;19
P3;20;0.95;0.2;0.05268716812133789;[1, 1, 3, 2];26;38
P4;20;0.95;0.2;0.07117581367492676;[0, 0, 1, 2, 2, 1, 1, 1];40;57
P6;20;0.95;0.2;0.07545924186706543;[0, 0, 1, 1, 2, 0, 2, 1, 6];48;56
P8;20;0.95;0.2;0.08384895324707031;[0, 0, 0, 0, 1, 0, 1, 1, 1];117;120
P9;20;0.95;0.2;0.08436799049377441;[0, 0, 1, 1, 0, 0, 1, 1, 1];113;120
P11;20;0.95;0.2;0.04886293411254883;[0, 2, 1];108;110
P14;20;0.95;0.2;0.17244386672973633;[1, 0, 1, 0, 1, 1, 0, 4, 0, 1, 0, 0, 0, 1, 1, 1];120;137
P17;20;0.95;0.2;0.10635066032409668;[129199, 204397, 150070, 310736, 16851, 409816, 156803, 390668, 214696, 115530, 76604, 32678, 26688, 32471];9039988;13173754
