nome;to;alpha;iteracoes;tempo;estado;valor;tamanho
P4;100;0.85;500;0.24396991729736328;[1, 0, 1, 2, 4, 0, 0, 0];44;58
P6;100;0.85;500;0.2686915397644043;[2, 1, 2, 0, 0, 1, 1, 0, 19];61;58
P8;100;0.85;500;0.26081085205078125;[5, 0, 0, 0, 2, 0, 2, 1, 0];110;120
P9;100;0.85;500;0.26341772079467773;[0, 0, 0, 1, 0, 0, 2, 2, 0];113;120
P11;100;0.85;500;0.16537785530090332;[0, 4, 0];116;120
P14;100;0.85;500;0.3766918182373047;[0, 0, 0, 5, 0, 2, 1, 1, 2, 3, 0, 0, 0, 2, 1, 0];116;137
P17;100;0.85;500;0.44064831733703613;[36, 48, 17, 48, 7, 1, 9, 44, 6, 19, 27, 52, 56, 55];4607;6012
P20;100;0.85;500;0.37431764602661133;[20, 72, 148, 66, 33, 19, 63, 42, 43, 29, 45];3296;4888
P1;100;0.7;350;0.054354190826416016;[0, 2, 1];13;19
P3;100;0.7;350;0.06529808044433594;[0, 0, 2, 11];43;58
P4;100;0.7;350;0.07999944686889648;[0, 0, 1, 0, 4, 0, 2, 0];43;57
P6;100;0.7;350;0.08701086044311523;[0, 1, 0, 1, 3, 0, 0, 0, 16];63;56
P8;100;0.7;350;0.08476758003234863;[2, 2, 1, 0, 2, 0, 3, 0, 0];110;120
P9;100;0.7;350;0.08460521697998047;[0, 3, 0, 3, 0, 0, 0, 1, 1];106;119
P11;100;0.7;350;0.05330514907836914;[0, 4, 0];116;120
P14;100;0.7;350;0.12391138076782227;[0, 1, 1, 0, 0, 4, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1];119;138
P17;100;0.7;350;0.14131569862365723;[11, 49, 4, 28, 23, 13, 34, 59, 32, 1, 18, 23, 5, 9];1609;2392
P20;100;0.7;350;0.1197965145111084;[27, 34, 5, 36, 10, 21, 16, 11, 32, 45, 34];1877;2816
P1;100;0.7;500;0.07752060890197754;[0, 2, 1];13;19
P3;100;0.7;500;0.09263300895690918;[0, 1, 4, 6];42;58
P4;100;0.7;500;0.11535906791687012;[1, 0, 0, 4, 3, 0, 0, 1];43;58
P6;100;0.7;500;0.12600207328796387;[0, 0, 1, 0, 1, 0, 2, 0, 27];73;54
P8;100;0.7;500;0.12356376647949219;[0, 3, 0, 0, 2, 0, 0, 1, 1];113;119
P9;100;0.7;500;0.1204524040222168;[5, 3, 0, 0, 0, 0, 2, 0, 1];109;119
P11;100;0.7;500;0.07691025733947754;[0, 4, 0];116;120
P14;100;0.7;500;0.1779341697692871;[0, 2, 0, 0, 0, 1, 1, 2, 0, 2, 0, 0, 0, 2, 0, 1];122;137
P17;100;0.7;500;0.20116066932678223;[59, 31, 10, 1, 38, 5, 29, 5, 15, 8, 22, 8, 19, 17];1875;2671
P20;100;0.7;500;0.17230844497680664;[28, 33, 45, 32, 12, 14, 6, 33, 13, 13, 18];1337;2000
P1;50;0.95;350;0.3398149013519287;[0, 2, 1];13;19
P3;50;0.95;350;0.402834415435791;[0, 1, 0, 13];43;58
P4;50;0.95;350;0.4974339008331299;[0, 1, 0, 8, 2, 0, 0, 0];44;58
P6;50;0.95;350;0.5309262275695801;[0, 0, 0, 3, 1, 0, 0, 0, 35];87;57
P8;50;0.95;350;0.5192580223083496;[1, 4, 1, 0, 0, 0, 0, 0, 2];113;119
P9;50;0.95;350;0.515571117401123;[2, 0, 2, 0, 0, 0, 1, 1, 1];111;119
P11;50;0.95;350;0.3287184238433838;[0, 4, 0];116;120
P14;50;0.95;350;0.7603580951690674;[1, 1, 0, 2, 0, 0, 2, 2, 2, 1, 0, 0, 0, 0, 3, 0];119;138
P17;50;0.95;350;0.8873436450958252;[10, 52, 6, 5, 47, 5, 20, 101, 18, 41, 24, 45, 51, 72];5066;6762
P20;50;0.95;350;0.7445807456970215;[164, 4, 67, 67, 62, 104, 46, 27, 47, 59, 61];3423;5438
P1;50;0.95;500;0.4755222797393799;[0, 2, 1];13;19
P3;50;0.95;500;0.5665853023529053;[0, 0, 2, 11];43;58
P4;50;0.95;500;0.70408034324646;[0, 0, 0, 7, 3, 0, 0, 0];45;58
P6;50;0.95;500;0.7625007629394531;[1, 1, 1, 1, 1, 0, 1, 0, 22];68;57
P8;50;0.95;500;0.738194465637207;[1, 1, 0, 0, 1, 0, 2, 0, 1];115;120
P9;50;0.95;500;0.7391657829284668;[1, 1, 0, 0, 0, 0, 1, 3, 0];114;120
P11;50;0.95;500;0.47092270851135254;[0, 4, 0];116;120
P14;50;0.95;500;1.083348035812378;[0, 1, 0, 6, 1, 0, 0, 2, 1, 1, 0, 1, 0, 1, 0, 1];115;138
P17;50;0.95;500;1.2610156536102295;[56, 27, 38, 62, 45, 16, 48, 28, 25, 49, 86, 91, 66, 14];5429;7495
P20;50;0.95;500;1.0680012702941895;[57, 29, 53, 32, 106, 33, 14, 34, 19, 36, 93];3112;4821
P1;50;0.85;350;0.10792684555053711;[0, 2, 1];13;19
P3;50;0.85;350;0.12694644927978516;[0, 1, 0, 13];43;58
P4;50;0.85;350;0.15587377548217773;[0, 0, 0, 6, 2, 0, 1, 1];43;58
P6;50;0.85;350;0.1630690097808838;[0, 1, 0, 0, 0, 0, 0, 0, 52];108;58
P8;50;0.85;350;0.17215394973754883;[2, 0, 3, 0, 0, 0, 2, 0, 1];112;119
P9;50;0.85;350;0.16480588912963867;[1, 0, 1, 1, 0, 0, 0, 0, 2];111;117
P11;50;0.85;350;0.10454344749450684;[0, 4, 0];116;120
P14;50;0.85;350;0.24024271965026855;[0, 1, 1, 1, 2, 1, 0, 0, 0, 0, 0, 0, 1, 1, 2, 0];113;137
P17;50;0.85;350;0.27898740768432617;[18, 13, 14, 28, 15, 13, 12, 10, 37, 34, 22, 21, 23, 48];3148;4213
P20;50;0.85;350;0.23526549339294434;[21, 41, 37, 21, 16, 39, 5, 22, 62, 34, 76];2875;4201
P1;50;0.85;500;0.151611328125;[0, 2, 1];13;19
P3;50;0.85;500;0.18156981468200684;[0, 0, 2, 11];43;58
P4;50;0.85;500;0.2256021499633789;[0, 1, 1, 1, 4, 0, 0, 0];44;57
P6;50;0.85;500;0.24176454544067383;[0, 0, 2, 0, 2, 0, 0, 0, 24];74;58
P8;50;0.85;500;0.23542428016662598;[1, 1, 0, 0, 4, 0, 1, 1, 0];112;120
P9;50;0.85;500;0.2375030517578125;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;50;0.85;500;0.14948153495788574;[0, 4, 0];116;120
P14;50;0.85;500;0.3431248664855957;[0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 2, 0, 0, 0, 0, 2];123;136
P17;50;0.85;500;0.39953112602233887;[54, 3, 63, 12, 17, 34, 21, 96, 18, 8, 47, 0, 40, 67];4224;5587
P20;50;0.85;500;0.3368241786956787;[27, 38, 57, 15, 11, 34, 57, 21, 19, 17, 37];1849;2762
P1;50;0.7;350;0.04885601997375488;[0, 2, 1];13;19
P3;50;0.7;350;0.058892250061035156;[0, 1, 0, 13];43;58
P4;50;0.7;350;0.0725865364074707;[0, 0, 1, 5, 3, 0, 0, 0];44;57
P6;50;0.7;350;0.07861733436584473;[0, 2, 3, 3, 0, 0, 0, 0, 12];56;57
P8;50;0.7;350;0.07670831680297852;[2, 2, 0, 0, 2, 0, 0, 1, 1];113;120
P9;50;0.7;350;0.07746315002441406;[3, 0, 2, 0, 0, 0, 2, 0, 1];107;116
P11;50;0.7;350;0.048577308654785156;[0, 4, 0];116;120
P14;50;0.7;350;0.10868430137634277;[2, 0, 1, 1, 2, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1];112;137
P17;50;0.7;350;0.12807703018188477;[20, 30, 17, 35, 12, 18, 50, 14, 37, 11, 17, 10, 19, 34];2634;3536
P20;50;0.7;350;0.10753750801086426;[10, 9, 0, 62, 6, 49, 1, 1, 6, 25, 12];868;1311
P1;50;0.7;500;0.0696566104888916;[0, 2, 1];13;19
P3;50;0.7;500;0.08241796493530273;[1, 0, 1, 12];42;58
P4;50;0.7;500;0.10331416130065918;[0, 3, 2, 4, 1, 0, 0, 0];42;58
P6;50;0.7;500;0.11221480369567871;[1, 1, 0, 4, 1, 0, 0, 0, 21];67;56
P8;50;0.7;500;0.10703396797180176;[0, 5, 5, 0, 0, 0, 0, 1, 1];109;120
P9;50;0.7;500;0.11167263984680176;[1, 0, 0, 1, 0, 0, 3, 1, 0];109;117
P11;50;0.7;500;0.0694282054901123;[0, 4, 0];116;120
P14;50;0.7;500;0.15852880477905273;[0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2];133;136
P17;50;0.7;500;0.18347525596618652;[7, 36, 34, 5, 26, 36, 5, 50, 18, 43, 17, 43, 22, 20];2732;3824
P20;50;0.7;500;0.1551206111907959;[3, 46, 20, 4, 48, 4, 27, 28, 13, 12, 23];1307;2047
