nome;tamanho_populacao;taxa_crossover;taxa_mutacao;tempo;estado;valor;tamanho
P20;10;0.75;0.2;0.034548044204711914;[277881, 760210, 521952, 1105851, 22686, 1963592, 780026, 356729, 144879, 207806, 226797];23644402;35867936
P1;10;0.75;0.3;0.0182645320892334;[0, 2, 1];13;19
P3;10;0.75;0.3;0.019994497299194336;[2, 1, 2, 2];22;34
P4;10;0.75;0.3;0.02754378318786621;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.75;0.3;0.028928756713867188;[1, 1, 1, 1, 1, 1, 1, 1, 6];46;58
P8;10;0.75;0.3;0.033997297286987305;[0, 0, 0, 0, 1, 0, 1, 1, 1];117;120
P9;10;0.75;0.3;0.03272533416748047;[0, 0, 3, 0, 0, 0, 1, 1, 1];112;120
P11;10;0.75;0.3;0.018721342086791992;[0, 2, 1];108;110
P14;10;0.75;0.3;0.08305478096008301;[0, 2, 1, 3, 0, 3, 0, 4, 3, 1, 0, 0, 0, 1, 0, 1];115;137
P17;10;0.75;0.3;0.041046857833862305;[420339, 88754, 187219, 139957, 936, 446122, 164202, 631926, 218183, 119592, 88468, 57329, 12906, 31843];8997416;13846628
P20;10;0.75;0.3;0.03513526916503906;[63893, 752173, 173739, 1017799, 550799, 2094094, 361172, 439752, 277162, 210767, 187843];22681385;35818078
P1;10;0.85;0.1;0.018105506896972656;[0, 2, 1];13;19
P3;10;0.85;0.1;0.019566774368286133;[1, 1, 2, 2];21;31
P4;10;0.85;0.1;0.026361703872680664;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.85;0.1;0.02823162078857422;[1, 1, 1, 2, 1, 1, 2, 0, 6];46;58
P8;10;0.85;0.1;0.03258180618286133;[0, 3, 1, 0, 0, 0, 1, 1, 1];113;119
P9;10;0.85;0.1;0.032582759857177734;[1, 2, 0, 0, 0, 0, 1, 1, 1];108;113
P11;10;0.85;0.1;0.017952919006347656;[0, 2, 1];108;110
P14;10;0.85;0.1;0.0729682445526123;[2, 1, 0, 3, 1, 0, 2, 6, 1, 0, 0, 0, 0, 1, 0, 1];111;136
P17;10;0.85;0.1;0.03922128677368164;[404809, 199114, 174359, 188630, 90139, 262454, 103886, 287479, 277354, 94651, 75258, 34981, 48149, 28590];8941569;13541711
P20;10;0.85;0.1;0.03369283676147461;[1170505, 572393, 519965, 669752, 648389, 770100, 553600, 432793, 151439, 213932, 207022];22227223;36481765
P1;10;0.85;0.2;0.018139362335205078;[0, 2, 1];13;19
P3;10;0.85;0.2;0.020932435989379883;[2, 2, 1, 2];21;33
P4;10;0.85;0.2;0.027419328689575195;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.85;0.2;0.028806686401367188;[0, 1, 1, 2, 1, 1, 1, 1, 5];46;58
P8;10;0.85;0.2;0.033277273178100586;[5, 1, 2, 0, 1, 0, 0, 1, 1];108;118
P9;10;0.85;0.2;0.03325295448303223;[2, 0, 0, 1, 0, 0, 1, 1, 1];112;119
P11;10;0.85;0.2;0.018290281295776367;[1, 1, 1];103;105
P14;10;0.85;0.2;0.0751352310180664;[3, 0, 0, 2, 0, 1, 2, 1, 0, 1, 0, 1, 0, 0, 1, 1];116;138
P17;10;0.85;0.2;0.040033578872680664;[332515, 165382, 178595, 317966, 166193, 360143, 151041, 591925, 183799, 122436, 24098, 19836, 42150, 23977];9005989;13824075
P20;10;0.85;0.2;0.034029483795166016;[1215411, 737027, 443232, 875801, 677206, 2210549, 791151, 317483, 220488, 162227, 226026];24872098;41361522
P1;10;0.85;0.3;0.01822209358215332;[0, 2, 1];13;19
P3;10;0.85;0.3;0.01966691017150879;[1, 2, 1, 2];20;30
P4;10;0.85;0.3;0.026846647262573242;[0, 1, 1, 2, 1, 1, 2, 1];39;58
P6;10;0.85;0.3;0.028218507766723633;[0, 1, 0, 2, 1, 0, 2, 2, 6];48;58
P8;10;0.85;0.3;0.034104347229003906;[2, 0, 2, 0, 0, 0, 1, 1, 1];113;119
P9;10;0.85;0.3;0.03300595283508301;[1, 1, 0, 1, 0, 0, 1, 1, 1];113;120
P11;10;0.85;0.3;0.018628358840942383;[0, 2, 1];108;110
P14;10;0.85;0.3;0.0743095874786377;[2, 2, 0, 0, 1, 4, 0, 3, 0, 0, 0, 1, 0, 0, 1, 1];112;137
