nome;iteracoes;m;tempo;estado;valor;tamanho
P8;50;10;0.013900518417358398;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;50;10;0.014162778854370117;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;50;10;0.0034818649291992188;[1, 3, 0];111;115
P14;50;10;0.031846046447753906;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;50;10;120.00001049041748;[0, 50469, 50529, 50822, 0, 0, 50649, 0, 50363, 50427, 50831, 50887, 50678, 238426];10715426;13889999
P20;50;10;120.00001335144043;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;50;15;0.003430604934692383;[0, 2, 1];13;19
P3;50;15;0.011657238006591797;[0, 1, 5, 4];41;57
P4;50;15;0.018973350524902344;[0, 1, 1, 1, 4, 0, 0, 0];44;57
P6;50;15;0.023696422576904297;[0, 0, 0, 1, 5, 0, 0, 0, 4];51;58
P8;50;15;0.01354360580444336;[0, 0, 1, 0, 1, 0, 0, 0, 2];118;120
P9;50;15;0.013429403305053711;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;50;15;0.0034563541412353516;[1, 3, 0];111;115
P14;50;15;0.04105997085571289;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;50;15;120.00002813339233;[45941, 45797, 45833, 45707, 46222, 45777, 46203, 45900, 45995, 46047, 45788, 46018, 46159, 233677];10503408;13890000
P20;50;15;120.00002694129944;[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0];0;0
P1;100;2;0.006221294403076172;[0, 2, 1];13;19
P3;100;2;0.018506526947021484;[0, 2, 6, 1];41;58
P4;100;2;0.024329185485839844;[0, 0, 1, 0, 5, 0, 0, 0];45;57
P6;100;2;0.02895808219909668;[0, 0, 1, 0, 5, 0, 0, 0, 1];47;58
P8;100;2;0.016790151596069336;[0, 0, 0, 0, 0, 1, 0, 0, 2];115;120
P9;100;2;0.016835927963256836;[0, 0, 0, 1, 0, 0, 0, 2, 1];115;120
P11;100;2;0.00601959228515625;[0, 2, 1];108;110
P14;100;2;0.0403742790222168;[0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2];135;138
P17;100;2;120.000009059906;[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 111916, 299786];11379790;13890000
P20;100;2;120.00001907348633;[0, 0, 0, 0, 0, 0, 0, 0, 0, 570941, 1577960];31091633;42978020
P1;100;5;0.006813764572143555;[0, 2, 1];13;19
